,group_1.0,group_1.1,group_1.2,group_2.0,group_2.1,group_2.2,group_2.3,group_3.0,group_3.1,group_3.2,group_4.0,group_4.1,group_4.2
1349,62.31318,62.51196,62.578228,62.224842,61.95988,62.73287,62.578228,253.11934,253.08119,253.10663,64.037155,58.895405,44.178753
1350,62.53405,62.51196,62.35735,62.246925,61.981956,62.6445,62.66659,253.13205,253.08119,253.10663,63.307446,60.371452,43.418808
1351,62.53405,62.475147,62.36471,62.239563,61.981956,62.54142,62.56351,253.13205,253.08119,253.0939,63.093826,60.290627,43.534588
1352,62.53405,62.43833,62.372074,62.232204,61.981956,62.438343,62.46043,253.13205,253.08119,253.08119,62.88021,60.209805,43.650368
1353,62.53405,62.40152,62.379436,62.224842,61.981956,62.335262,62.35735,253.13205,253.0939,253.0939,62.66659,60.12898,43.766148
1354,62.51196,62.51196,62.445694,62.158596,61.95988,62.754963,62.46778,253.13205,253.10663,253.10663,65.852486,57.92715,43.744434
1355,62.475147,62.467785,62.46778,62.210125,61.95988,62.725506,62.5856,253.13205,253.05576,253.10663,65.24,58.22055,43.918167
1356,62.43833,62.42361,62.489872,62.26165,61.95988,62.69605,62.703426,253.13205,253.0049,253.10663,64.62752,58.513947,44.091904
1357,62.40152,62.379436,62.51196,62.31318,61.95988,62.66659,62.821247,253.11934,253.0049,253.08119,64.01503,58.807346,44.265636
1358,62.489876,62.478832,62.42361,62.202766,61.882614,62.611366,62.523045,253.10663,253.0049,253.05576,63.694397,59.07158,44.178757
1359,62.578228,62.578228,62.335262,62.092354,61.805347,62.556137,62.224842,253.11934,253.01761,253.08119,63.373764,59.335808,44.091877
1360,62.545094,62.578228,62.346306,62.136517,61.893654,62.666595,62.456764,253.13205,253.03033,253.10663,61.44289,61.310577,42.541214
1361,62.51196,62.578228,62.35735,62.18068,61.981956,62.777058,62.688683,253.11934,253.03033,253.0939,59.512016,63.285343,40.990547
1362,62.523003,62.58927,62.335266,62.257973,61.80536,62.76601,62.412598,253.10663,253.03033,253.08119,61.807766,60.507275,43.378014
1363,62.53405,62.60032,62.31318,62.335262,61.628765,62.754963,62.136513,253.1151,253.02185,253.08968,64.103516,57.729206,45.765484
