,group_1.0,group_1.1,group_1.2
0,62.46778,62.556137,62.445694
1,62.46778,62.556137,62.445694
2,62.31318,62.224842,62.51196
3,62.46778,62.51196,62.40152
4,62.40152,62.556137,62.35735
5,62.578228,62.291096,62.423607
6,62.31318,62.335262,62.6445
7,62.489872,62.246925,62.51196
8,62.31318,62.423607,62.6445
9,62.556137,62.423607,62.31318
10,62.291096,62.578228,62.51196
11,62.489872,62.489872,62.335262
12,62.51196,62.66659,62.31318
13,62.489872,62.246925,62.60032
14,62.31318,62.51196,62.40152
15,62.777058,62.489872,62.158596
16,62.523033,62.412567,62.40155
17,62.26901,62.335262,62.6445
18,62.423607,62.53405,62.335262
19,62.39048,62.545094,62.412567
20,62.35735,62.556137,62.489872
21,62.66659,62.445694,62.379436
22,62.456757,62.611374,62.346306
23,62.246925,62.777058,62.31318
24,62.489872,62.224842,62.53405
25,62.412567,62.280052,62.556137
26,62.335262,62.335262,62.578228
27,62.62241,62.246925,62.51196
28,62.611366,62.423622,62.412567
29,62.60032,62.60032,62.31318
30,62.511963,62.60032,62.31318
31,62.423607,62.60032,62.31318
32,62.53405,62.379436,62.40152
33,62.55614,62.41625,62.349987
34,62.578228,62.45306,62.29846
35,62.60032,62.489872,62.246925
36,62.335262,62.6445,62.31318
37,62.372074,62.592957,62.291096
38,62.408882,62.541416,62.26901
39,62.445694,62.489872,62.246925
40,62.379436,62.710777,62.136513
41,62.36471,62.644505,62.2543
42,62.349987,62.57823,62.372086
43,62.335262,62.51196,62.489872
44,62.335262,62.799152,62.136513
45,62.349987,62.76233,62.1954
46,62.36471,62.725506,62.25429
47,62.379436,62.688683,62.31318
48,62.445698,62.58928,62.346306
49,62.51196,62.489872,62.379436
50,62.500916,62.500916,62.35735
51,62.489872,62.51196,62.335262
52,62.412567,62.51196,62.456745
53,62.335262,62.51196,62.578228
54,62.379433,62.51196,62.46779
55,62.423607,62.51196,62.35735
56,62.578228,62.46778,62.335262
57,62.46778,62.489872,62.26901
58,62.335262,62.379436,62.556137
