,group_3.0,group_3.1,group_3.2
0,253.05576,252.95404,253.03033
1,253.05576,252.95404,253.03033
2,253.0049,252.87775,252.95404
3,253.05576,252.9286,253.03033
4,253.05576,252.9286,253.03033
5,253.03033,252.90318,252.97948
6,253.05576,252.95404,253.03033
7,253.05576,252.9286,253.03033
8,253.03033,252.9286,252.95404
9,253.03033,252.9286,253.0049
10,253.05576,252.9286,253.03033
11,253.03033,252.9286,253.0049
12,253.05576,252.95404,253.03033
13,253.03033,252.95404,253.03033
14,253.03033,252.9286,253.03033
15,253.0049,252.90318,253.0049
16,253.03033,252.9159,253.01761
17,253.05576,252.9286,253.03033
18,253.0049,252.87775,252.97948
19,253.01761,252.89047,252.99219
20,253.03033,252.90318,253.0049
21,253.05576,252.9286,253.0049
22,253.06848,252.9286,253.01761
23,253.08119,252.9286,253.03033
24,253.05576,252.9286,253.03033
25,253.05576,252.9159,253.03033
26,253.05576,252.90318,253.03033
27,253.03033,252.90318,252.97948
28,253.04305,252.9159,253.00491
29,253.05576,252.9286,253.03033
30,253.03033,252.9286,253.03033
31,253.03033,252.9286,253.01761
32,253.03033,252.9286,253.0049
33,253.03033,252.9286,253.01761
34,253.03033,252.9286,253.03033
35,253.00491,252.9159,253.00491
36,252.97948,252.90318,252.97948
37,253.00491,252.9159,252.99219
38,253.03033,252.9286,253.0049
39,253.01761,252.90317,252.99219
40,253.0049,252.87775,252.97948
41,253.01761,252.89047,252.99219
42,253.03033,252.90318,253.0049
43,253.04305,252.92862,253.01761
44,253.05576,252.95404,253.03033
45,253.04305,252.92862,253.01761
46,253.03033,252.90318,253.0049
47,253.03033,252.95404,253.0049
48,253.03033,253.0049,253.0049
49,253.03033,252.99219,253.0049
50,253.03033,252.97948,253.0049
51,253.05577,252.99643,253.0049
52,253.08119,253.01338,253.0049
53,253.10663,253.03033,253.0049
54,253.08119,253.01761,253.01761
55,253.05576,253.0049,253.03033
56,253.10663,253.0049,253.0049
57,253.08119,252.97948,253.0049
58,253.13205,253.0049,253.0049
59,253.10663,253.0049,253.0049
60,253.10663,253.03033,253.03033
61,253.10663,252.97948,252.97948
62,253.03033,253.0049,253.0049
63,253.03033,253.03033,253.0049
64,253.03033,253.03033,253.03033
65,253.0049,252.97948,253.05576
66,253.10663,252.97948,253.08119
67,253.10663,252.97948,253.08119
68,253.08119,252.97948,253.05576
69,253.13205,252.97948,253.10663
70,253.08119,252.97948,253.05576
71,253.10663,252.97948,253.08119
72,253.10663,252.97948,253.08119
73,253.10663,252.97948,253.15749
74,253.10663,252.97948,253.15749
75,253.10663,252.97948,253.15749
76,253.13205,253.0049,253.18292
77,253.13205,253.08119,253.18292
78,253.10663,253.08119,253.15749
79,253.13205,253.08119,253.15749
80,253.13205,253.08119,253.20834
81,253.13205,253.10663,253.18292
82,253.10663,253.05576,253.13205
83,253.10663,253.05576,253.13205
84,253.10663,253.08119,253.15749
85,253.10663,253.05576,253.15749
86,253.13205,253.08119,253.18292
87,253.15749,253.05576,253.15749
88,253.18292,253.15749,253.15749
89,253.23378,253.15749,253.18292
90,253.20834,253.15749,253.18292
91,253.18292,253.13205,253.15749
92,253.18292,253.14478,253.15749
93,253.18292,253.15749,253.15749
94,253.18292,253.15749,253.15749
95,253.18292,253.15749,253.10663
96,253.18292,253.15749,253.05576
97,253.18292,253.15749,253.08119
98,253.18292,253.11934,253.08119
99,253.18292,253.08119,253.08119
100,253.15749,253.05576,253.05576
101,253.18292,253.08119,253.08119
102,253.20834,253.10663,253.10663
103,253.18292,253.05576,253.08119
104,253.19563,253.0939,253.0939
105,253.20834,253.13205,253.10663
106,253.13205,253.08119,253.10663
107,253.14478,253.06848,253.08119
108,253.15749,253.05576,253.05576
109,253.14478,253.08119,253.0939
110,253.13205,253.10663,253.13205
111,253.10663,253.05576,253.10663
112,253.18292,253.08119,253.08119
113,253.05576,252.95404,253.03033
114,253.15749,253.05576,253.03033
115,253.13205,253.0049,253.08119
116,253.10663,252.97948,253.08119
117,253.10663,252.97948,253.0049
118,253.10663,252.97948,252.97948
119,253.05576,252.97948,253.03033
120,253.10663,252.9286,253.03033
121,253.10663,252.94131,253.01761
122,253.10663,252.95404,253.0049
123,253.0049,252.90318,253.0049
124,253.01761,252.9159,253.04305
125,253.03033,252.9286,253.08119
126,253.03033,252.90318,253.0049
127,253.03033,252.90318,253.04305
128,253.03033,252.90318,253.08119
129,253.0049,252.90318,253.05576
130,253.01761,252.94133,253.08119
131,253.03033,252.97948,253.10663
132,253.03033,252.9286,253.08119
133,253.04305,252.96675,253.0939
134,253.05576,253.0049,253.10663
135,253.03033,252.9286,253.08119
136,253.03033,252.94131,253.08119
137,253.03033,252.95404,253.08119
138,253.04305,252.94131,253.08119
139,253.05576,252.9286,253.08119
140,253.05576,252.9286,253.0939
141,253.05576,252.9286,253.10663
142,253.05576,252.94131,253.10663
143,253.05576,252.95404,253.10663
144,253.03033,252.92862,253.08119
145,253.0049,252.90318,253.05576
146,253.01761,252.9159,253.03033
147,253.03033,252.9286,253.0049
148,253.03033,252.9286,253.0049
149,252.97948,252.9286,253.03033
150,253.0049,252.9286,252.97948
151,253.0049,252.87775,252.97948
152,253.03033,252.9286,253.0049
153,253.03033,252.9286,253.0049
154,253.03033,252.87775,253.0049
155,253.03033,252.9286,253.0049
156,253.03033,252.90318,253.0049
157,253.03033,252.9286,253.0049
158,253.03033,252.9286,253.0049
